uniqsubs,actvsubs,new_cell,crclscod,asl_flag,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,prizm_social_one,area,dualband,refurb_new,hnd_price,phones,models,hnd_webcap,truck,rv,ownrent,lor,dwlltype,marital,adults,infobase,income,numbcars,HHstatin,dwllsize,forgntvl,ethnic,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,eqpdays,Customer_ID
2,2,U,BA,N,9179,14195,1522.54,1463.78,13967,9098,50.48,481.62,313.72,550,440,53,516,395,58,S,CALIFORNIA NORTH AREA,Y,R,29.98999023,8,4,WCMB,0,0,O,3,S,M,5,M,4,2,,A,0,N,U,U,U,U,U,Y,25,1007278
1,1,Y,A,N,1544,5540,580.51,549.07,5510,1527,28.9,290.0,80.37,210,72,38,224,79,33,S,MIDWEST AREA,Y,N,149.9899902,5,4,WCMB,0,0,O,15,S,U,4,M,6,3,C,A,0,G,U,U,U,U,Y,Y,78,1007279
3,3,N,A,N,2465,6798,2090.95,2059.95,6796,2463,68.67,226.53,82.1,210,91,74,221,98,92,S,SOUTHWEST AREA,N,N,129.9899902,3,3,WCMB,0,0,O,5,S,U,2,M,5,2,C,A,0,H,Y,Y,U,U,U,Y,173,1007280
2,1,U,AA,N,8989,15838,1784.52,1700.21,15519,8830,54.85,500.61,284.84,615,398,54,613,385,55,U,OHIO AREA,Y,N,149.9899902,3,3,WCMB,0,0,O,9,M,U,3,M,1,2,,B,0,Z,U,U,U,U,U,Y,395,1007281
1,1,Y,B,N,2501,9365,911.56,873.82,9331,2479,41.61,444.33,118.05,859,201,57,771,182,54,U,CALIFORNIA NORTH AREA,Y,N,29.98999023,1,1,NA,0,0,O,15,S,M,4,M,7,2,,A,0,U,U,U,U,U,U,Y,935,1007282
1,1,N,A,N,4264,12251,1711.78,1573.23,11736,4118,54.25,404.69,142.0,460,156,83,450,164,74,T,NORTHWEST/ROCKY MOUNTAIN AREA,Y,R,129.9899902,4,4,WCMB,1,1,O,2,S,M,2,M,7,1,C,A,1,H,Y,U,U,U,U,Y,99,1007283
1,1,Y,B,N,2493,5391,1128.16,1078.17,5257,2446,32.67,159.3,74.12,100,63,32,112,74,31,,NEW YORK CITY AREA,N,R,9.989997864,2,2,NA,0,0,O,15,S,M,2,M,5,,B,A,0,S,U,U,U,U,U,N,671,1007284
2,2,N,A,N,2795,6380,1129.48,1076.33,6234,2724,34.72,201.1,87.87,181,90,32,167,84,33,S,NEW ENGLAND AREA,N,N,29.98999023,1,1,NA,0,0,O,6,S,M,4,M,9,1,I,A,1,H,U,U,U,U,U,Y,996,1007285
1,1,N,A,N,330,776,811.29,792.39,773,327,23.31,22.74,9.62,18,10,21,37,15,30,S,CALIFORNIA NORTH AREA,Y,N,29.98999023,1,1,WC,0,0,O,10,S,M,4,M,7,1,C,A,1,N,U,U,U,U,U,Y,1042,1007286
1,1,U,A,N,419,945,1173.04,1114.76,882,398,35.96,28.45,12.84,60,27,36,39,19,36,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,29.98999023,1,1,WC,0,0,O,5,S,M,2,M,6,2,C,A,0,I,U,U,Y,U,U,Y,996,1007287
1,1,U,B,N,10887,22460,3120.14,3037.6,22130,10716,104.74,763.1,369.52,856,440,66,848,440,67,S,NEW ENGLAND AREA,Y,N,199.9899902,5,2,WCMB,0,0,,,,U,,M,,,,,0,N,U,U,U,U,U,N,244,1007288
2,2,Y,B,N,8108,13389,1921.04,1857.79,13213,8012,59.93,426.23,258.45,148,108,15,164,118,13,S,CENTRAL/SOUTH TEXAS AREA,N,N,29.98999023,1,1,NA,0,0,O,5,S,B,1,M,6,2,C,A,0,H,U,U,U,U,U,Y,996,1007289
1,1,Y,EA,N,3867,9118,1733.88,1733.88,8994,3804,72.25,374.75,158.5,573,273,83,628,293,97,U,NEW YORK CITY AREA,N,N,79.98999023,2,2,WC,0,0,,,,U,,,,,,,0,N,U,U,U,U,U,N,658,1007290
1,1,Y,A,N,1100,5572,1319.43,1267.51,5534,1086,43.71,190.83,37.45,105,18,37,85,17,35,U,CALIFORNIA NORTH AREA,Y,N,29.98999023,1,1,WC,0,0,O,1,S,B,1,M,7,,C,A,0,N,U,U,U,U,U,Y,934,1007291
1,1,U,B,N,1285,3098,1102.22,1053.83,3018,1233,33.99,97.35,39.77,178,84,51,133,62,41,S,PHILADELPHIA AREA,N,R,9.989997864,2,2,NA,0,0,O,4,S,M,1,M,4,1,C,A,0,N,Y,U,U,U,U,Y,847,1007292
2,2,N,B,N,3570,8254,1467.05,1416.73,8192,3540,42.93,248.24,107.27,392,180,63,486,215,68,S,NEW ENGLAND AREA,Y,N,59.98999023,2,2,WCMB,0,0,O,2,S,A,2,M,7,,C,A,0,J,U,U,U,Y,U,Y,446,1007293
2,2,N,A,N,898,3019,2739.83,2661.94,3005,893,83.19,93.91,27.91,58,24,58,60,25,72,C,MIDWEST AREA,T,N,99.98999023,2,2,WCMB,0,0,O,6,S,M,2,M,9,1,C,A,0,N,U,U,U,U,U,Y,285,1007294
1,1,U,A,N,3372,12713,1748.83,1648.83,12510,3317,53.19,403.55,107.0,374,125,53,436,125,55,R,NORTH FLORIDA AREA,Y,N,59.98999023,2,2,WCMB,0,0,O,1,S,M,3,M,4,1,C,A,0,N,U,U,U,U,U,Y,350,1007295
3,2,U,A,N,5149,21405,1619.25,1584.59,21389,5144,46.61,629.09,151.29,1426,234,66,1379,230,50,T,DALLAS AREA,N,N,,2,2,WC,0,0,,,,U,,,,,,,0,J,U,U,U,U,U,N,260,1007296
2,2,Y,B,N,7134,13400,1355.49,1300.26,13234,7061,44.84,456.34,243.48,418,232,46,419,233,43,S,HOUSTON AREA,Y,R,9.989997864,2,2,WC,0,0,O,13,S,A,4,M,5,1,C,A,0,Z,U,U,U,U,U,Y,740,1007297
2,1,Y,A,N,1828,2963,1090.85,1036.35,2899,1783,33.43,93.52,57.52,91,41,37,95,51,34,U,GREAT LAKES AREA,Y,N,29.98999023,1,1,WC,1,0,O,7,S,M,2,M,7,2,C,A,0,G,U,U,U,U,U,Y,996,1007298
3,3,U,A,N,803,3469,646.63,606.8,3429,785,26.38,149.09,34.13,239,42,12,314,56,13,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,149.9899902,2,2,WCMB,0,0,O,8,,U,2,M,8,,C,,0,N,U,U,U,U,U,Y,264,1007299
1,1,U,B,N,3830,7480,1624.71,1587.39,7472,3824,46.69,219.76,112.47,288,131,69,304,143,64,T,NEW ENGLAND AREA,Y,N,29.98999023,2,1,WC,0,0,O,1,M,A,3,M,6,2,,A,0,S,U,U,U,U,U,Y,894,1007300
2,2,U,B,N,1120,10223,1549.0,1474.81,10181,1111,50.86,351.07,38.31,428,44,59,443,47,53,S,MIDWEST AREA,Y,N,149.9899902,2,2,WCMB,1,0,O,13,S,M,6,M,7,2,H,A,0,S,U,U,U,U,Y,Y,130,1007301
1,1,N,A,N,15210,36889,2417.79,2355.08,36349,14971,81.21,1253.41,516.24,1490,632,101,1428,627,90,S,CENTRAL/SOUTH TEXAS AREA,Y,N,129.9899902,8,7,WCMB,1,0,O,14,S,S,3,M,9,2,,A,0,N,U,U,U,Y,Y,Y,100,1007302
1,1,N,B,N,12869,18198,1400.95,1330.22,17889,12648,45.87,616.86,436.14,383,255,39,553,383,38,S,SOUTH FLORIDA AREA,N,N,129.9899902,2,2,WCMB,1,1,O,15,S,M,6,M,6,2,,A,0,H,Y,U,U,U,U,Y,306,1007303
2,2,U,A,N,872,3606,1232.86,1172.96,3456,835,35.54,104.73,25.3,2,2,30,20,6,31,S,NORTH FLORIDA AREA,Y,N,29.98999023,1,1,WC,1,1,O,15,S,M,5,M,7,2,I,A,0,N,U,U,U,Y,U,Y,1042,1007304
1,1,U,B,N,1152,2615,1169.4,1113.27,2539,1118,31.81,72.54,31.94,133,57,43,89,41,37,U,NEW ENGLAND AREA,N,N,29.98999023,1,1,NA,0,0,O,2,M,U,2,M,6,,C,B,1,I,U,U,U,U,U,Y,1103,1007305
3,3,U,A,N,369,1199,821.61,788.73,1199,369,25.44,38.68,11.9,44,22,24,35,14,24,S,DALLAS AREA,N,N,29.98999023,1,1,NA,0,0,O,12,S,M,4,M,8,2,C,A,0,U,U,U,U,U,U,Y,996,1007306
2,2,Y,A,N,2860,5501,1090.2,1030.98,5351,2782,35.55,184.52,95.93,144,84,32,180,93,33,S,MIDWEST AREA,Y,N,29.98999023,1,1,WC,0,0,O,2,,U,1,M,7,1,C,,0,G,U,U,U,U,U,Y,934,1007307
1,1,N,C,N,2141,4585,954.78,954.13,4585,2141,31.8,152.83,71.37,421,220,53,318,153,45,T,,Y,N,149.9899902,2,2,WCMB,0,0,,,,U,,,,,,,0,N,U,U,U,U,U,N,346,1007308
1,1,Y,A,N,11585,30059,3304.72,3232.95,29746,11432,111.48,1025.72,394.21,1281,494,158,1253,482,134,S,SOUTHWEST AREA,Y,R,9.989997864,3,3,NA,1,1,O,11,M,M,4,M,6,1,C,B,0,H,U,U,Y,U,U,Y,465,1007309
2,1,Y,C,N,7037,15521,1975.26,1874.48,15329,6967,60.47,494.48,224.74,1012,322,54,859,307,54,U,NEW YORK CITY AREA,Y,N,149.9899902,4,3,WCMB,0,0,O,5,S,A,3,M,5,1,,A,0,Z,U,U,Y,Y,U,Y,344,1007310
2,1,N,A,N,5598,13329,3192.7,2828.65,11635,4920,91.25,375.32,158.71,84,52,46,89,50,46,C,NEW YORK CITY AREA,Y,N,29.98999023,1,1,WC,0,0,O,15,S,S,3,M,8,1,,A,0,I,U,U,U,U,U,Y,996,1007311
1,1,U,A,N,9465,18941,2325.52,2266.68,18745,9324,73.12,604.68,300.77,551,275,114,692,338,108,U,CALIFORNIA NORTH AREA,Y,R,99.98999023,3,3,WCMB,0,0,,,,U,,,,,,,0,B,U,U,U,U,U,N,242,1007312
1,1,N,G,N,1973,13274,1308.39,1239.74,13160,1932,42.75,453.79,66.62,345,71,47,429,68,46,R,TENNESSEE AREA,Y,N,29.98999023,1,1,WC,0,0,O,9,S,M,3,M,7,3,,A,0,N,U,U,U,U,Y,Y,934,1007313
1,1,Y,G,N,4683,10361,1403.28,1360.76,10320,4663,46.92,355.86,160.79,669,204,68,538,174,65,S,DC/MARYLAND/VIRGINIA AREA,Y,R,29.98999023,5,4,WCMB,0,0,O,4,M,M,3,M,9,1,,B,0,G,U,U,U,U,Y,Y,279,1007314
1,1,U,A,N,2965,5698,1590.0,1513.38,5623,2914,43.24,160.66,83.26,207,91,41,192,100,41,S,NEW YORK CITY AREA,Y,N,29.98999023,2,2,NA,1,1,O,8,S,S,4,M,6,3,I,A,0,S,U,U,U,Y,Y,Y,503,1007315
1,1,Y,C,N,25012,54763,2765.29,2718.73,54683,24953,118.21,2377.52,1084.91,1726,761,78,2083,846,114,C,GREAT LAKES AREA,N,N,129.9899902,4,4,WCMB,0,0,,,,U,2,M,,,C,,0,U,U,U,U,U,U,N,335,1007316
2,2,U,A,N,3686,11868,2149.21,2083.75,11669,3648,63.14,353.61,110.55,493,134,67,465,122,79,,CENTRAL/SOUTH TEXAS AREA,Y,N,149.9899902,3,2,WCMB,1,1,O,4,S,A,2,M,7,1,C,A,0,N,Y,Y,U,U,U,Y,718,1007317
1,1,U,A,N,345,834,713.47,679.04,821,337,19.4,23.46,9.63,40,14,22,29,12,20,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,29.98999023,1,1,WC,0,0,O,2,M,A,2,M,8,1,I,D,0,S,U,U,U,U,U,Y,1103,1007318
2,2,U,A,N,7560,10187,1621.64,1569.24,10099,7481,44.84,288.54,213.74,738,491,74,648,460,59,T,ATLANTIC SOUTH AREA,Y,N,129.9899902,3,3,WCMB,0,0,O,15,S,S,3,M,7,,I,A,0,G,U,U,U,U,U,Y,245,1007319
1,1,Y,AA,N,5781,12713,1468.73,1384.86,12466,5579,60.21,542.0,242.57,1056,487,58,888,421,55,U,NEW YORK CITY AREA,Y,R,99.98999023,3,2,WCMB,0,0,,,,U,,,,,,,0,H,U,U,U,U,U,N,215,1007320
1,1,U,C,N,6702,14529,2288.36,2239.11,14410,6642,72.23,464.84,214.26,955,451,161,773,353,124,C,GREAT LAKES AREA,N,R,9.989997864,3,3,WC,0,0,O,2,M,A,3,M,6,1,C,B,0,G,U,U,U,U,U,Y,584,1007321
2,2,Y,B,N,8046,21491,3067.75,3026.21,21458,8030,84.06,596.06,223.06,609,216,73,542,194,66,S,NEW ENGLAND AREA,Y,R,29.98999023,2,2,WCMB,0,0,O,15,S,M,4,M,7,2,H,A,0,N,U,U,U,U,U,Y,216,1007322
1,1,Y,CA,Y,1324,2721,447.38,447.38,2659,1284,23.55,139.95,67.58,283,133,32,300,138,35,S,SOUTHWEST AREA,N,N,129.9899902,3,2,WCMB,0,0,,,,U,,,,,,,0,U,U,U,U,U,U,N,330,1007323
1,1,U,A,N,1206,5198,1364.5,1307.32,5182,1200,39.62,157.03,36.36,118,37,32,139,38,34,C,CENTRAL/SOUTH TEXAS AREA,N,N,29.98999023,1,1,NA,1,0,O,12,S,M,3,M,7,,C,A,0,F,U,U,U,U,U,Y,1042,1007324
1,1,U,D,N,8982,16224,2180.02,2112.11,15970,8807,64.0,483.94,266.88,630,352,80,570,325,75,,DALLAS AREA,Y,N,59.98999023,2,2,WCMB,0,0,,,,U,,,,,,,0,G,U,U,U,U,U,N,263,1007325
1,1,U,A,N,1202,2098,1010.38,954.25,2026,1150,30.78,65.35,37.1,54,30,30,50,32,31,S,CALIFORNIA NORTH AREA,N,N,29.98999023,1,1,WC,0,0,O,6,S,M,3,M,9,,C,A,0,B,U,U,Y,U,U,Y,996,1007326
1,1,U,A,N,2339,3873,1046.69,1002.17,3791,2279,32.33,122.29,73.52,151,76,30,163,89,31,U,NEW YORK CITY AREA,Y,N,79.98999023,2,2,WCMB,1,0,O,6,M,U,3,M,3,1,,B,0,N,U,U,U,U,U,Y,631,1007327
1,1,Y,A,N,1285,3713,1189.41,1140.64,3675,1270,34.56,111.36,38.48,159,71,59,122,54,44,T,DALLAS AREA,Y,R,99.98999023,3,3,WCMB,0,0,O,9,S,M,3,M,9,3,I,A,0,G,U,U,U,U,U,Y,18,1007328
2,2,N,B,N,15119,27898,2762.25,2663.23,27468,14877,80.7,832.36,450.82,1393,825,104,1353,760,102,,DALLAS AREA,N,N,29.98999023,2,2,WCMB,0,0,O,,,U,2,M,7,2,C,,0,N,U,U,U,U,U,Y,315,1007329
3,3,U,I,N,13936,23340,1814.74,1767.19,23134,13795,65.45,856.81,510.93,259,99,36,268,119,44,U,SOUTH FLORIDA AREA,N,N,129.9899902,3,3,WCMB,,,,,,,,,,,,,,,,,,,,,149,1007330
2,2,Y,A,N,1759,4105,872.87,838.91,4075,1737,31.07,150.93,64.33,112,54,31,112,54,29,T,NORTH FLORIDA AREA,N,N,29.98999023,1,1,NA,0,0,O,13,S,M,6,M,6,3,I,A,0,S,U,U,U,U,Y,Y,934,1007331
1,1,U,C,N,7739,20553,1061.75,1024.96,20425,7706,33.06,658.87,248.58,1377,442,41,972,300,35,T,ATLANTIC SOUTH AREA,T,N,199.9899902,13,8,WCMB,0,0,,6,,M,1,M,6,,,,0,H,U,U,U,Y,U,N,48,1007332
1,1,Y,A,N,118,323,634.35,611.33,322,117,17.98,9.47,3.44,3,2,11,7,4,16,T,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,29.98999023,1,1,WC,0,0,O,6,S,M,2,M,1,2,I,A,0,G,Y,U,U,U,U,Y,1103,1007333
1,1,U,A,N,1309,2402,932.16,885.71,2402,1309,30.54,82.83,45.14,107,55,31,89,49,31,,MIDWEST AREA,Y,N,29.98999023,1,1,WC,0,0,O,15,S,M,1,M,7,2,C,A,0,I,U,U,Y,U,U,Y,934,1007334
1,1,U,A,N,2769,8902,1297.83,1250.42,8816,2744,39.08,275.5,85.75,508,202,52,500,162,47,S,GREAT LAKES AREA,N,N,129.9899902,2,2,WCMB,0,0,O,11,S,M,5,M,8,,C,A,0,N,U,U,U,Y,U,Y,352,1007335
2,2,Y,BA,N,2395,3554,860.12,819.47,3522,2372,29.27,125.79,84.71,51,38,26,51,39,23,T,CENTRAL/SOUTH TEXAS AREA,N,N,29.98999023,1,1,NA,,,,,,,,,,,,,,,,,,,,,934,1007336
3,1,N,BA,N,6273,17515,2390.09,2308.53,17106,6087,65.96,488.74,173.91,745,135,36,601,151,49,U,SOUTH FLORIDA AREA,Y,N,129.9899902,8,5,WCMB,0,0,O,15,S,S,3,M,3,2,,A,0,Z,U,U,U,U,U,Y,146,1007337
3,2,U,B,N,2738,5246,1100.1,1054.44,5145,2690,34.01,165.97,86.77,158,89,30,177,97,31,S,NEW ENGLAND AREA,Y,N,149.9899902,2,2,WCMB,0,0,O,15,S,M,6,M,6,2,,A,0,N,U,U,U,U,U,Y,464,1007338
1,1,N,A,N,3571,5878,1469.11,1417.63,5831,3545,40.5,166.6,101.29,111,58,44,121,70,42,T,CENTRAL/SOUTH TEXAS AREA,Y,N,29.98999023,1,1,WC,0,0,O,12,S,M,5,M,2,,C,A,0,N,U,U,U,U,Y,Y,1103,1007339
2,2,U,A,N,850,1704,803.34,775.79,1697,844,26.75,58.52,29.1,117,54,31,116,53,31,S,DC/MARYLAND/VIRGINIA AREA,N,N,29.98999023,1,1,NA,0,0,,3,M,B,1,M,4,1,C,B,0,U,U,U,U,U,U,N,934,1007340
1,1,U,A,N,269,751,882.05,843.34,743,264,31.23,27.52,9.78,7,5,31,58,16,34,T,MIDWEST AREA,Y,N,29.98999023,1,1,WC,0,0,O,15,S,M,3,M,6,1,,A,0,N,U,U,U,U,U,Y,934,1007341
1,1,U,A,N,1861,4360,1031.25,986.73,4344,1854,34.03,149.79,63.93,142,48,34,120,45,33,S,MIDWEST AREA,N,N,29.98999023,1,1,WC,1,1,O,3,S,M,5,M,9,2,,A,0,N,U,Y,Y,U,U,Y,934,1007342
1,1,U,A,N,2931,7460,1726.67,1665.0,7347,2882,47.57,209.91,82.34,174,73,39,155,62,38,U,NEW ENGLAND AREA,Y,N,79.98999023,3,3,WCMB,0,0,,,,U,,,,,,,0,S,U,U,U,U,U,N,665,1007343
1,1,U,A,N,1789,6248,1373.87,1316.83,6211,1766,39.9,188.21,53.52,367,85,41,257,62,38,S,HOUSTON AREA,N,N,29.98999023,2,2,WC,1,0,O,13,S,S,6,M,5,3,,A,1,N,U,U,U,U,U,Y,347,1007344
2,2,U,A,N,3122,8639,1380.81,1319.76,8489,3092,39.99,257.24,93.7,381,142,30,415,151,30,U,MIDWEST AREA,Y,N,149.9899902,3,2,WCMB,1,0,O,2,S,S,3,M,6,1,C,A,0,N,U,U,U,U,U,Y,345,1007345
1,1,U,A,N,936,1833,1061.94,1042.77,1829,933,30.67,53.79,27.44,18,9,19,36,16,24,S,OHIO AREA,Y,N,29.98999023,1,1,WC,0,0,O,6,M,S,3,M,7,1,C,J,0,N,U,U,U,U,U,Y,1042,1007346
2,1,Y,A,N,910,1414,1177.88,1133.36,1397,895,32.38,39.91,25.57,67,34,35,51,29,42,C,NEW YORK CITY AREA,N,N,29.98999023,2,1,NA,0,0,O,4,S,U,2,M,3,3,A,A,0,H,U,U,U,U,U,Y,1102,1007347
2,2,U,B,N,3041,6574,1279.42,1214.44,6481,2988,41.88,223.48,103.03,251,105,59,234,104,51,U,TENNESSEE AREA,Y,R,9.989997864,6,2,WC,0,0,O,5,M,B,1,M,6,1,C,B,0,I,U,U,U,U,U,Y,75,1007348
1,1,N,A,N,3973,15417,2215.77,2159.64,15365,3934,74.47,529.83,135.66,1105,226,64,1039,203,82,R,NEW YORK CITY AREA,Y,N,149.9899902,2,2,WCMB,0,0,O,1,S,M,2,M,9,1,I,A,0,U,U,U,U,U,U,Y,148,1007349
1,1,Y,B,N,9,10,1002.38,962.7,10,9,30.08,0.31,0.28,0,0,30,0,0,30,,MIDWEST AREA,N,N,29.98999023,1,1,NA,0,0,,,,U,,,,,,,0,N,U,U,U,U,U,N,1041,1007350
3,1,Y,A,N,1142,5465,1420.34,1373.03,5317,1123,41.61,161.12,34.03,0,0,10,19,7,14,,NORTH FLORIDA AREA,Y,N,29.98999023,1,1,NA,1,1,O,2,S,S,1,M,5,,C,A,1,S,U,U,U,U,U,Y,1041,1007351
1,1,N,A,N,72,135,601.52,575.12,134,71,18.55,4.32,2.29,3,2,18,2,2,18,R,OHIO AREA,Y,N,29.98999023,4,2,WC,0,0,O,5,S,M,2,M,8,1,I,A,0,N,U,U,Y,Y,U,Y,690,1007352
1,1,U,A,N,879,2268,1252.32,1177.07,2186,837,40.59,75.38,28.86,142,50,29,116,43,34,C,TENNESSEE AREA,Y,N,79.98999023,2,2,WCMB,0,0,O,5,S,M,4,M,9,2,C,A,0,N,U,U,Y,U,U,Y,230,1007353
2,2,N,CA,N,4600,16320,2475.13,2412.54,16031,4516,73.11,485.79,136.85,206,70,15,187,58,29,,MIDWEST AREA,N,N,29.98999023,1,1,WC,0,0,,,,U,,,,,,,0,U,U,U,U,U,U,N,1041,1007354
2,2,U,A,N,347,855,731.82,693.04,845,342,36.48,44.47,18.0,69,25,41,60,24,40,S,NEW ENGLAND AREA,Y,N,149.9899902,2,2,WCMB,0,0,O,1,S,S,1,M,5,,C,B,0,N,U,U,U,U,U,Y,351,1007355
2,1,U,A,N,1700,3858,1770.21,1709.9,3773,1661,48.85,107.8,47.46,11,7,30,12,6,30,U,CENTRAL/SOUTH TEXAS AREA,N,N,29.98999023,1,1,NA,0,0,O,11,S,M,2,M,7,1,I,A,0,N,U,U,U,U,U,Y,1102,1007356
1,1,U,B,N,186,362,523.08,500.61,356,183,17.88,12.71,6.54,17,8,18,10,6,17,T,GREAT LAKES AREA,Y,N,29.98999023,1,1,WC,0,0,O,15,S,M,2,M,5,,C,A,0,N,U,U,U,Y,U,Y,933,1007357
2,2,U,A,N,1859,5765,1159.46,1115.93,5699,1830,31.88,162.83,52.29,269,73,30,215,60,30,S,TENNESSEE AREA,Y,N,149.9899902,4,3,WCMB,0,0,O,11,M,A,2,M,8,,I,A,0,N,U,Y,U,U,U,Y,80,1007358
2,2,U,A,N,3381,9395,1691.21,1629.25,9192,3291,49.37,278.55,99.73,238,93,45,214,83,45,R,GREAT LAKES AREA,N,N,29.98999023,1,1,NA,1,0,O,0,M,B,1,M,5,1,C,B,0,N,U,U,U,U,U,Y,1041,1007359
5,3,U,A,N,22088,32342,2890.39,2805.86,32037,21875,96.75,1104.72,754.31,1165,694,104,1251,725,154,S,SOUTH FLORIDA AREA,T,N,99.98999023,5,4,WCMB,0,0,O,1,M,U,3,M,6,2,I,J,0,R,U,U,U,U,U,Y,14,1007360
2,2,N,A,N,1858,3632,1164.47,1133.02,3612,1844,34.33,109.45,55.88,196,96,41,171,86,36,,OHIO AREA,Y,N,59.98999023,2,2,WCMB,0,0,,,,U,,,,,,,0,N,U,U,U,U,U,N,633,1007361
3,3,U,A,N,901,5411,1113.67,1072.8,5374,880,32.51,162.85,26.67,119,17,33,128,21,32,S,SOUTH FLORIDA AREA,Y,N,29.98999023,2,2,WC,0,0,O,1,S,M,4,M,9,2,C,A,0,D,U,U,U,U,U,Y,926,1007362
1,1,Y,A,N,122,292,548.95,522.28,271,111,18.01,9.34,3.83,1,1,17,1,1,17,S,NEW ENGLAND AREA,Y,N,29.98999023,1,1,NA,0,0,O,10,S,M,4,M,7,2,,A,0,G,U,U,U,U,U,Y,995,1007363
2,2,U,A,N,890,5134,1079.72,1001.19,4976,848,34.52,171.59,29.24,248,50,33,205,40,35,S,MIDWEST AREA,N,R,9.989997864,2,2,WC,0,0,O,15,S,M,5,M,7,,C,,0,N,U,U,U,U,Y,N,563,1007364
1,1,U,A,N,467,715,1041.25,983.37,679,445,31.72,21.9,14.35,24,16,30,16,11,31,C,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,59.98999023,2,2,WCMB,0,0,O,12,S,U,3,M,8,2,H,A,0,N,U,U,Y,U,U,Y,415,1007365
1,1,Y,B,N,9533,23564,4232.33,4159.13,23119,9320,126.03,700.58,282.42,1905,713,431,1803,740,399,S,MIDWEST AREA,Y,N,199.9899902,7,5,WCMB,1,1,O,9,S,M,6,M,6,2,C,A,0,N,U,U,U,U,U,Y,101,1007366
1,1,Y,A,N,5585,16618,2025.1,1993.66,16616,5584,56.96,474.74,159.54,785,267,52,798,275,58,S,SOUTHWEST AREA,Y,N,199.9899902,2,2,WCMB,1,1,O,15,S,M,5,M,5,1,,A,0,N,U,U,U,U,U,Y,217,1007367
1,1,N,A,N,729,2765,1025.35,985.66,2708,708,39.43,108.32,28.32,142,32,38,117,29,38,,SOUTHWEST AREA,Y,N,129.9899902,3,2,WCMB,0,0,,0,M,M,1,M,5,1,A,B,0,G,U,U,U,U,U,N,264,1007368
1,1,Y,C,N,1274,2926,1029.58,1029.58,2897,1257,33.21,93.45,40.55,323,104,54,255,96,48,S,PHILADELPHIA AREA,Y,N,149.9899902,3,3,WCMB,0,0,O,8,M,M,2,M,6,2,H,B,0,N,U,U,U,U,U,Y,264,1007369
1,1,U,B,N,11069,20065,2467.42,2392.92,19977,11001,72.51,605.36,333.36,825,482,108,825,484,108,T,NEW ENGLAND AREA,N,R,29.98999023,2,2,WC,0,0,O,15,S,M,6,M,7,3,B,A,0,N,U,U,U,U,U,Y,547,1007370
2,2,N,B,N,3258,9985,1837.08,1803.51,9983,3257,60.12,332.77,108.57,424,161,65,424,151,65,S,NEW YORK CITY AREA,Y,N,29.98999023,2,2,NA,0,0,O,5,S,M,6,M,6,1,,A,0,S,U,U,Y,Y,U,Y,702,1007371
2,2,Y,A,N,2021,4288,1476.21,1403.63,4220,1979,48.4,145.52,68.24,297,107,36,268,98,41,U,PHILADELPHIA AREA,Y,N,199.9899902,2,2,WCMB,0,0,O,3,S,A,2,M,3,1,I,A,0,H,U,U,U,U,U,Y,202,1007372
1,1,U,E,N,3403,7052,1321.18,1283.44,7013,3388,38.89,212.52,102.67,143,67,27,269,122,36,S,SOUTH FLORIDA AREA,Y,N,29.98999023,1,1,WC,0,0,,,,U,2,M,,,G,,0,S,U,U,U,U,U,N,1102,1007373
2,2,Y,A,N,1891,4979,1572.04,1533.55,4944,1875,46.47,149.82,56.82,104,53,60,74,37,60,U,NEW YORK CITY AREA,N,N,29.98999023,1,1,NA,1,0,O,15,M,M,4,M,4,1,I,B,0,N,U,U,Y,Y,U,Y,1102,1007374
1,1,Y,C5,N,2753,8759,1531.09,1478.3,8704,2723,42.24,248.69,77.8,598,135,49,481,122,46,U,NEW YORK CITY AREA,Y,N,79.98999023,2,2,WCMB,0,0,O,6,M,S,1,M,4,,C,B,0,F,U,U,U,U,U,Y,340,1007375
2,1,U,B,N,3297,5628,1580.9,1543.97,5628,3297,48.25,175.88,103.03,202,118,38,211,120,40,U,NEW YORK CITY AREA,N,N,79.98999023,2,2,WC,0,0,,,M,S,3,M,7,,C,,0,H,U,U,U,U,U,Y,499,1007376
1,1,U,A,N,3636,6162,1091.79,1047.77,6057,3567,36.13,208.86,123.0,161,106,37,207,119,37,S,CALIFORNIA NORTH AREA,N,N,29.98999023,1,1,NA,0,0,O,2,M,U,3,M,6,2,,N,0,O,U,U,U,U,U,Y,995,1007377
1,1,Y,B,N,3321,8162,1618.52,1566.65,8051,3273,44.76,230.03,93.51,117,70,33,215,99,50,U,NEW YORK CITY AREA,N,N,29.98999023,1,1,WC,0,0,O,7,M,S,3,M,4,1,,L,0,H,U,U,U,U,Y,Y,1102,1007378
